AP,BAIRRO,LOGRADOURO,INÍCIO,FIM ,LADO,VAGAS,TEMPO DE PERMANÊNCIA,PERÍODO DE FUNCIONAMENTO,POSIÇÃO,LOCALIZAÇÃO,OBSERVAÇÃO,PORTARIA Nº
2.1,LEBLON,RUA DIAS FERREIRA,RUA GAL VENÂNCIO FLORES,RUA GAL ARTIGAS,ÍMPAR,12,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A DOM DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº: 471-516(RUA GAL. ARTIGAS),,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA DIAS FERREIRA,RUA GAL VENÂNCIO FLORES,RUA GAL URQUIZA,ÍMPAR,12,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A DOM DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº: 581-521,Alteração - nºvagas(13x11) a ser regulamentada conf.Proc.03/073.099/06-na Ges em 12/09/06,28.010 (DO 17/09/2004); 28.444 (DO 22/10/2004)
2.1,LEBLON,RUA DIAS FERREIRA,RUA PROF AZEVEDO MARQUÊS,RUA RAINHA GUILHERMINA,ÍMPAR,29,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A DOM DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº: 14(RUA PROF AZEVEDO MARQUES) -247,,28.010 (DO 17/09/2004) E 31.363 (DO 24/08/2005)
2.1,LEBLON,RUA DIAS FERREIRA,RUA RAINHA GUILHERMINA,RUA ARISTIDES ESPÍNOLA,PAR,20,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A DOM DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº: 256-116(RUA ARISTIDES ESPÍNOLA),,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA DIAS FERREIRA,RUA RAINHA GUILHERMINA,RUA GAL ARTIGAS,ÍMPAR,21,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A DOM DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº: 180(RUA RAINHA GUILHERMINA)-511(RUA GAL ARTIGAS),,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA DOUTOR MARQUÊS CANARIO,RUA MARIO RIBEIRO,PÇA N.S. AUXILIADORA,ÍMPAR,25,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,A 45 GRAUS DA VIA,PRAÇA N S AUXILIADORA,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA FADEL FADEL,RUA HUMBERTO DE CAMPOS,RUA PADRE ACHOTEGUI,PAR,23,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A SÁB DAS 7H ÀS 19H - ÚNICO DE SEG A SÁB DAS 19H ÀS 2H,AO LONGO DA VIA,ENTRE OS Nº: 20 - 140,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA FADEL FADEL,RUA HUMBERTO DE CAMPOS,RUA PADRE ACHOTEGUI,ÍMPAR,7,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A SÁB DAS 7H ÀS 19H - ÚNICO DE SEG A SÁB DAS 19H ÀS 2H,AO LONGO DA VIA,LADO OPOSTO AOS Nº: 20 -140 ,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA FADEL FADEL,RUA PADRE ACHOTEGUI,RUA GILBERTO CARDOSO,PAR,12,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A SÁB DAS 7H ÀS 19H - ÚNICO DE SEG A SÁB DAS 19H ÀS 2H,AO LONGO DA VIA,ENTRE OS POSTES Nº: 026/00171 - 00167,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA FADEL FADEL,RUA PADRE ACHOTEGUI,RUA GILBERTO CARDOSO,ÍMPAR,22,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A SÁB DAS 7H ÀS 19H - ÚNICO DE SEG A SÁB DAS 19H ÀS 2H,A 45 GRAUS DA VIA,5M DA ESQUINA E POSTE 026/170,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA GENERAL ARTIGAS,AV DELFIM MOREIRA,AV GAL SAN MARTIN,AMBOS,40,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,AO LONGO DA VIA,TODO O TRECHO,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA GENERAL ARTIGAS,AV GAL SAN MARTIN,AV ATAULFO DE PAIVA,PAR,8,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 232-174,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA GENERAL ARTIGAS,RUA DIAS FERREIRA,AV ATAULFO DE PAIVA,PAR,43,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 460-340,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA GENERAL URQUIZA,AV ATAULFO DE PAIVA,AV GAL SAN MARTIN,ÍMPAR,16,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 63 - 71,,28.010 (DO 17/09/2004) E 32.002 - ART.:4º (DO 25/10/2005)
2.1,LEBLON,RUA GENERAL URQUIZA,AV ATAULFO DE PAIVA,RUA PROF ARTUR RAMOS,ÍMPAR,17,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 111-119,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA GENERAL URQUIZA,AV DELFIM MOREIRA,AV GAL SAN MARTIN,AMBOS,37,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,AO LONGO DA VIA,TODO O TRECHO,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA GENERAL URQUIZA,RUA HUMBERTO DE CAMPOS,RUA JOÃO DE BARROS,ÍMPAR,12,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 156- 165,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA GENERAL URQUIZA,RUA JOÃO DE BARROS,RUA PROF ARTUR RAMOS,ÍMPAR,10,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  133-147,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA GENERAL VENÂNCIO FLORES,AV ATAULFO DE PAIVA,AV GAL SAN MARTIN,ÍMPAR,13,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 255-157,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA GENERAL VENÂNCIO FLORES,AV DELFIM MOREIRA,AV GAL SAN MARTIN,PAR,22,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,AO LONGO DA VIA,TODO O TRECHO,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA GILBERTO CARDOSO,RUA FADEL FADEL,RUA ADALBERTO FERREIRA,PAR,22,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F AO COBAL,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA HUMBERTO DE CAMPOS,AV BARTOLOMEU MITRE,RUA JOÃO LIRA,PAR,12,ÚNICO,SEG A SÁB DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº 896 - 802,,29.785 (DO 02/03/2005) - art.1º-
2.1,LEBLON,RUA HUMBERTO DE CAMPOS,AV BARTOLOMEU MITRE,RUA JOÃO LIRA,IMPAR,13,ÚNICO,SEG A SÁB DAS 7H ÀS 19H,AO LONGO DA VIA,E/F AO Nº : 827,,29.785 (DO 02/03/2005) - art.2º-
2.1,LEBLON,RUA HUMBERTO DE CAMPOS,AV BARTOLOMEU MITRE,RUA JOÃO LIRA,IMPAR,13,ÚNICO,SEG A SÁB DAS 7H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº:827-159 (RUA JOÃO LIRA),,32.270 (DO 12/01/2006) - I -
2.1,LEBLON,RUA HUMBERTO DE CAMPOS,RUA JOÃO LIRA,RUA JOSÉ LINHARES,IMPAR,8,ÚNICO,SEG A SÁB DAS 7H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº:753-699,,32.270 (DO 12/01/2006) -II-
2.1,LEBLON,RUA HUMBERTO DE CAMPOS,RUA JOSÉ LINHARES,RUA CUPERTINO DURÃO,IMPAR,10,ÚNICO,SEG A SÁB DAS 7H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº:633-611,,32.270 (DO 12/01/2006) -III-
2.1,LEBLON,RUA HUMBERTO DE CAMPOS,RUA JOAO LIRA,RUA JOSÉ LINHARES,PAR,11,ÚNICO,SEG A SÁB DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº774 - 796,,29.785 (DO 02/03/2005) - art.3º-
2.1,LEBLON,RUA HUMBERTO DE CAMPOS,RUA PROFESSOR SABÓIA RIBEIRO,AV.AFRÂNIO DE MELO FRANCO,PAR,10,ROTATIVO 4H / ÚNICO,SEG A SEX DAS 7H ÀS 19H E SÁB DAS 7H ÀS 13H - ÚNICO DE SEG À SEX DAS 19H ÀS 23H-SÁB DAS 13H ÀS 23H -DOM DAS 7H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº:436-382,,2.224 (DO 08/05/2007)
2.1,LEBLON,RUA JERONIMO MONTEIRO,AV ATAULFO DE PAIVA,AV GAL SAN MARTIN,PAR,20,ÚNICO,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 216-10,,28.010 (DO 17/09/2004) E 2.302 (DO 21/05/07)
2.1,LEBLON,RUA JOÃO LIRA,AV ATAULFO DE PAIVA,RUA HUMBERTO DE CAMPOS,PAR,47,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 146-658(  AV ATAULFO DE PAIVA),,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA JOÃO LIRA,AV DELFIM MOREIRA,AV GAL SAN MARTIN,AMBOS,33,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,AO LONGO DA VIA,TODO O TRECHO,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA JOÃO LIRA,AV GAL SAN MARTIN,AV ATAULFO DE PAIVA,PAR,11,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 84 -60,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA JOÃO LIRA,RUA CONDE BERNADOTTE,RUA HUMBERTO DE CAMPOS,PAR,16,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A DOM DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº: 204-154,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA JOSÉ LINHARES,AV ATAULFO DE PAIVA,AV GAL SAN MARTIN,PAR,5,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 96 -512(GAL. S. MARTIN),,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA JOSÉ LINHARES,AV ATAULFO DE PAIVA,RUA HUMBERTO DE CAMPOS,PAR,23,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 154 -100,,28.010 (DO 17/09/2004) E 32.002 - ART.:3º(DO 25/10/2005)
2.1,LEBLON,RUA JOSÉ LINHARES,AV DELFIM MOREIRA,AV GAL SAN MARTIN,AMBOS,28,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,AO LONGO DA VIA,TODO O TRECHO,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA PROF ARTUR RAMOS,RUA VENÂNCIO FLORES,RUA GENERAL URQUIZA,PAR,8,ROTATIVO 4H,SEG A DOM DAS 7H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº:156- 133(R.GAL.URQUIZA),,32.670 (DO 06/01/2006)
2.1,LEBLON,RUA PROF ARTUR RAMOS,RUA GENERAL URQUIZA,AV.BARTOLOMEU MITRE,PAR,8,ROTATIVO 4H,SEG A DOM DAS 7H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº:106(R.GAL.URQUIZA) - 14 ,,32.670 (DO 06/01/2006) E 33.796 (DO 02/05/2006)
2.1,LEBLON,RUA RAINHA GUILHERMINA,AV DELFIM MOREIRA,AV GAL SAN MARTIN,AMBOS,29,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,AO LONGO DA VIA,TODO O TRECHO,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA RAINHA GUILHERMINA,AV GAL SAN MARTIN,AV ATAULFO DE PAIVA,ÍMPAR,16,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 59-95(GAL. SAN MARTIN),,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA RAINHA GUILHERMINA,RUA DIAS FERREIRA,AV ATAULFO DE PAIVA,ÍMPAR,18,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 117-155,,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA RITA LUDOLF,AV ATAULFO DE PAIVA,AV GAL SAN MARTIN,ÍMPAR,22,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº: 63-1321(AVATAUFO PAIVA),,28.010 (DO 17/09/2004)
2.1,LEBLON,RUA RITA LUDOLF,AV DELFIM MOREIRA,AV GAL SAN MARTIN,AMBOS,21,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,AO LONGO DA VIA,TODO O TRECHO,,28.010 (DO 17/09/2004)
2.1,LEME,AV ATLÂNTICA,PÇA ALMTE JÚLIO DE NORONHA,RUA MARTIN AFONSO,PAR,37,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,A 90 GRAUS DA VIA,ENTRE OS Nº: 270-324,,28.010 (DO 17/09/2004)
2.1,LEME,AV ATLÂNTICA,PÇA ALMTE JÚLIO DE NORONHA,RUA MARTIN AFONSO,CANTEIRO CENTRAL,37,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,AO LONGO DA VIA,ENTRE OS Nº: 270 - 324,,28.010 (DO 17/09/2004)
2.1,LEME,AV ATLÂNTICA,RUA ANCHIETA,AV PRINC ISABEL,CANTEIRO CENTRAL,43,ÚNICO,SEG A DOM DAS 7H ÀS 4H ,A 45 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL - TÉRMINO: LADO OPOSTO AO Nº896,,30.128 (DO 11/04/2005)
2.1,LEME,AV ATLÂNTICA,RUA ANCHIETA,AV PRINC ISABEL,PAR,103,ÚNICO,SEG A DOM DAS 7H ÀS 4H ,A 45 GRAUS DA VIA,BAIA E/F AOS Nº:804-900,,30.128 (DO 11/04/2005)
2.1,LEME,AV ATLÂNTICA,RUA AURELINO LEAL,RUA ANCHIETA,PAR,40,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,A 90 GRAUS DA VIA,ENTRE OS Nº: 514-656,,28.010 (DO 17/09/2004)
2.1,LEME,AV ATLÂNTICA,RUA AURELINO LEAL,RUA ANCHIETA,CANTEIRO CENTRAL,47,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,AO LONGO DA VIA,ENTRE OS Nº:  514-656,,28.010 (DO 17/09/2004)
2.1,LEME,AV ATLÂNTICA,RUA MARTIN AFONSO,RUA AURELINO LEAL,PAR,33,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,A 90 GRAUS DA VIA,ENTRE OS Nº: 250-478,,28.010 (DO 17/09/2004)
2.1,LEME,AV ATLÂNTICA,RUA MARTIN AFONSO,RUA AURELINO LEAL,CANTEIRO CENTRAL,38,ÚNICO,SEG A SEX DAS 7H ÀS 23H  - SÁB E DOM DAS 7H ÀS 23H ,AO LONGO DA VIA,ENTRE OS Nº: 350-478,,28.010 (DO 17/09/2004)
2.1,SÃO CONRADO,ESTR DA GÁVEA,,,IMPAR,2,ROTATIVO 2H,SEG A SÁB DAS 7H ÀS 18H,AO LONGO DA VIA,E/F AO Nº:827,,34.408 - IV - (03/07/02006)
2.1,SÃO CONRADO,ESTR DA GÁVEA,,,IMPAR,20,ROTATIVO 2H,SEG A SÁB DAS 7H ÀS 18H,A 45 GRAUS DA VIA,E/F AO Nº:827,,34.408 - V - (03/07/02006)
2.1,SÃO CONRADO,ESTR DA GÁVEA,,,IMPAR,8,ROTATIVO 2H,SEG A SÁB DAS 7H ÀS 18H,AO LONGO DA VIA,E/F AO Nº:847,,34.408 - VI - (03/07/02006)
2.1,SÃO CONRADO,RUA GAL OLYMPIO MOURÃO FILHO,,,IMPAR,16,ROTATIVO 2H,SEG A SÁB DAS 7H ÀS 18H,AO LONGO DA VIA,FUNDOS DO Nº:847 (ESTR. DA GÁVEA),,34.408 - I - (DO 03/07/2006)
2.1,SÃO CONRADO,RUA GAL OLYMPIO MOURÃO FILHO,,,IMPAR,18,ROTATIVO 2H,SEG A SÁB DAS 7H ÀS 18H,A 45 GRAUS DA VIA,E/F ÀS LOJAS 30 E 40 (Nº827 DA ESTR.GÁVEA),,34.408 - II - (DO 03/07/2006)
2.1,SÃO CONRADO,RUA GAL OLYMPIO MOURÃO FILHO,,,IMPAR,24,ROTATIVO 2H,SEG A SÁB DAS 7H ÀS 18H,AO LONGO DA VIA,E/F À LOJA 10 (Nº:827 DA ESTR.GÁVEA),,34.408 - III - (DO 03/07/2006)
2.1,SÃO CONRADO,RUA POVINA CAVALCANTI,AV ALMTE ALVARO ALBERTO,RUA ENG. AMANDINO DE CARVALHO,PAR,22,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A DOM DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 23H,AO LONGO DA VIA,E/F Nº: 100,,28.010 (DO 17/09/2004)
2.1,URCA,PRAÇA GAL TIBURCIO,AV PASTEUR,,CANTEIRO CENTRAL,18,ROTATIVO 4H,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,,,28.010 (DO 17/09/2004)
2.1,URCA,PRAÇA GAL TIBURCIO,AV PASTEUR,,CANTEIRO CENTRAL,44,ROTATIVO 4H,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,E/F AO TELEFÉRICO - ESTAÇÃO :1º ESTÁGIO P/ PÃO DE AÇÚCAR,,28.010 (DO 17/09/2004)
2.1,URCA,PRAÇA GAL TIBURCIO,,,ESQUERDO,37,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 23H,A 90 GRAUS DA VIA,"JUNTO À PÇA , E/F PRAIA VERMELHA",,34.055 (DO 29/05/2006) - I -
2.1,URCA,PRAÇA GAL TIBURCIO,,,BOLSÃO,73,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 23H,A 90 GRAUS DA VIA,"NOS BOLSÕES DE ESTACIONAMENTO, E/F AO CLUBE MILITAR DA PRAIA VERMELHA",,34.055 (DO 29/05/2006) - II -
2.1,URCA,PRAÇA GAL TIBURCIO,,,DIREITO,70,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 23H,A 90 GRAUS DA VIA,JUNTO À PRAIA VERMELHA,,34.055 (DO 29/05/2006) - III -
2.1,URCA,PRAÇA GAL TIBURCIO,,,DIREITO,4,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 23H,A 90 GRAUS DA VIA,E/F AO ACESSO À PISTA CLÁUDIO COUTINHO,,34.055 (DO 29/05/2006) - IV -
2.1,URCA,PRAÇA GAL TIBURCIO,,,IMPAR,30,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 23H,A 45 GRAUS DA VIA,ENTRE OS Nº:125-83,,34.055 (DO 29/05/2006) - V -
2.1,URCA,PRAÇA GAL TIBURCIO,,,IMPAR,3,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 23H,AO LONGO DA VIA,E/F AO Nº:83,,34.055 (DO 29/05/2006) - VI -
2.1,URCA,PRAÇA GAL TIBURCIO,,,ENTORNO,24,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 23H,A 90 GRAUS DA VIA,"NO ENTORNO DA RÓTULA NA AV.PASTEUR, E/F À PÇA .",,34.055 (DO 29/05/2006) - VII -
2.1,URCA,RUA DOUTOR XAVIER SIGAUD,AV PASTEUR,AV LAURO MULLER,IMPAR,40,ÚNICO,SEG A SEX DAS 7H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº: 27- 205,,30.238 (DO 25/04/2005) -INCISO:V
2.1,URCA,RUA DOUTOR XAVIER SIGAUD,AV PASTEUR,AV LAURO MULLER,PAR,29,ÚNICO,SEG A SEX DAS 7H ÀS 23H,AO LONGO DA VIA,ENTRE OS Nº:280(AV.PASTEUR)-150,,30.238 (DO 25/04/2005) -INCISO:VI
2.2,ALTO DA BOA VISTA,PRAÇA AFONSO VIZEU,AV EDISON PASSOS,ESTR DA CASCATINHA ,PAR,13,ÚNICO (dias/horários especiais),SÁB E DOM DAS 7H ÀS 19H,AO LONGO DA VIA,"ENTRE OS Nº : 4490 - 74, LADO DIREITO DO SENTIDO DA VIA",,28.011 (DO 17/09/2004)
2.2,ALTO DA BOA VISTA,PRAÇA AFONSO VIZEU,AV EDISON PASSOS,ESTR DA CASCATINHA ,ÍMPAR,17,ÚNICO (dias/horários especiais),SÁB E DOM DAS 7H ÀS 19H,AO LONGO DA VIA,ENTORNO DA PRAÇA - LADO OPOSTO ENTRE OS Nº:4490 E Nº : 74,,28.011 (DO 17/09/2004)
2.2,ALTO DA BOA VISTA,PRAÇA AFONSO VIZEU,ESTR DA CASCATINHA ,RUA BOA VISTA,PAR,14,ÚNICO (dias/horários especiais),SÁB E DOM DAS 7H ÀS 19H,AO LONGO DA VIA,"ENTORNO DA PÇA -NA LATERAL DO Nº : 210 DA RUA BOA VISTA, LADO DIREITO DO SENTIDO DA VIA",,28.011 (DO 17/09/2004)
2.2,ALTO DA BOA VISTA,PRAÇA AFONSO VIZEU,ESTR DA CASCATINHA ,RUA BOA VISTA,ÍMPAR,12,ÚNICO (dias/horários especiais),SÁB E DOM DAS 7H ÀS 19H,AO LONGO DA VIA,"ENTORNO DA PÇA-LADO OPOSTO À LATERAL DO Nº : 210 DA RUA BOA VISTA, NO LADO ESQ DO SENTIDO DA VIA",,28.011 (DO 17/09/2004)
2.2,ANDARAÍ,RUA BARÃO DE MESQUITA,RUA AGOSTINHO MENEZES ,RUA SILVA TELES,ÍMPAR,42,ÚNICO,SEG A SEX DAS  7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,TODO O TRECHO (BAIA- E/F SESC),,28.011 (DO 17/09/2004)
2.2,ANDARAÍ,RUA GASTÃO PENALVA,RUA LEOPOLDO,RUA ERNESTO DE SOUZA,ÍMPAR,26,ÚNICO,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  273-15,,28.011 (DO 17/09/2004)
2.2,GRAJAU,RUA BARÃO DO BOM RETIRO,RUA BORDA DO MATO ,RUA N/S DE LOURDES,ÍMPAR,16,ROTATIVO 2H,SEG A SEX DAS 8H ÀS 17H - SÁB DAS 8H ÀS 13H,AO LONGO DA VIA,E/F Nº:2723,,28.011 (DO 17/09/2004)
2.2,MARACANÃ,ALÇA DE RETORNO-AV PRES CASTELO BCO/AV MARACANÃ-ÁREA INTERNA,AV PRES CASTELO BRANCO(Z NORTE/CENTRO),AV MARACANÃ,AMBOS,100,ÚNICO (EM EVENTOS),4 HS.ANTES DO INÍCIO E 1 H APÓS O TÉRMINO DO JOGO/EVENTO,AO LONGO DA VIA,DEIXANDO LIVRE UMA FAIXA DE ESCAPE,ESTÁDIO MÁRIO FILHO (COMPLEXO DO MARACANÃ),28.011 (DO 17/09/2004)
2.2,MARACANÃ,AV MARACANÃ,RUA SÃO FRANCISCO XAVIER,RUA MATA MACHADO,BOLSÃO,380,ÚNICO (EM EVENTOS),4 HS.ANTES DO INÍCIO E 1 H APÓS O TÉRMINO DO JOGO/EVENTO,AO LONGO DA VIA,BOLSÃO,ESTÁDIO MÁRIO FILHO (COMPLEXO DO MARACANÃ),28.011 (DO 17/09/2004)
2.2,MARACANÃ,AV PRES CASTELO BRANCO - ÁREA 1,AV PROF MANUEL DE ABREU,ALINHAMENTO PORTÃO 1 - UERJ,CANTEIRO CENTRAL / INTERNO,135,ÚNICO (EM EVENTOS),4 HS.ANTES DO INÍCIO E 1 H APÓS O TÉRMINO DO JOGO/EVENTO,LIVRE,E/F METRÔ MARACANÃ,ESTÁDIO MÁRIO FILHO (COMPLEXO DO MARACANÃ),28.011 (DO 17/09/2004)
2.2,MARACANÃ,AV PRES CASTELO BRANCO - ÁREA 2,AV PROF MANUEL DE ABREU,AV PRES CASTELO BRANCO - CAMPUS UERJ,CANTEIRO TRIANGULAR / INTERNO,68,ÚNICO (EM EVENTOS),4 HS.ANTES DO INÍCIO E 1 H APÓS O TÉRMINO DO JOGO/EVENTO,LIVRE,CANTEIRO TRIANGULAR - E/F PORTÃO 2 UERJ,ESTÁDIO MÁRIO FILHO (COMPLEXO DO MARACANÃ),28.011 (DO 17/09/2004)
2.2,MARACANÃ,AV PRES CASTELO BRANCO - ÁREA 4,RUA MATA MACHADO,RETORNO AV PRES CASTELO BCO/AV MARACANÃ,ENTORNO,110,ÚNICO (EM EVENTOS),4 HS.ANTES DO INÍCIO E 1 H APÓS O TÉRMINO DO JOGO/EVENTO,LIVRE,QUARTEIRÃO DO ANTIGO MUSEU DO ÍNDIO,ESTÁDIO MÁRIO FILHO (COMPLEXO DO MARACANÃ),28.011 (DO 17/09/2004)
2.2,MARACANÃ,AV PRES CASTELO BRANCO - ÁREA 5,RETORNO - AV PRES CASTELO BCO/AV MARACANÃ,RAMPA VD O COZZI(SENTIDO CENTRO),CANTEIRO CENTRAL / INTERNO,255,ÚNICO (EM EVENTOS),4 HS.ANTES DO INÍCIO E 1 H APÓS O TÉRMINO DO JOGO/EVENTO,LIVRE,CANTEIRO CENTRAL AO LADO MIN.AGRICULTURA,ESTÁDIO MÁRIO FILHO (COMPLEXO DO MARACANÃ),28.011 (DO 17/09/2004)
